group1,group2,meandiff,p-adj,lower,upper,reject
high_cortisol,stable,0.604,1.0,-1.6256,2.8336,False
high_cortisol,stressed,-1.776,0.3259,-4.0056,0.4536,False
high_dopamine,high_oxytocin,-0.348,1.0,-2.5776,1.8816,False
high_dopamine,high_serotonin,-0.008,1.0,-2.2376,2.2216,False
high_dopamine,neutral_dynamic,-11.5633,0.0,-14.8452,-8.2814,True
high_dopamine,neutral_static,-6.97,0.0,-10.2519,-3.6881,True
high_dopamine,stable,0.864,0.9972,-1.3656,3.0936,False
high_dopamine,stressed,-1.516,0.6287,-3.7456,0.7136,False
high_oxytocin,high_serotonin,0.34,1.0,-1.8896,2.5696,False
high_oxytocin,neutral_dynamic,-11.2153,0.0,-14.4972,-7.9334,True
high_oxytocin,neutral_static,-6.622,0.0,-9.9039,-3.3401,True
high_oxytocin,stable,1.212,0.9133,-1.0176,3.4416,False
high_oxytocin,stressed,-1.168,0.9363,-3.3976,1.0616,False
high_serotonin,neutral_dynamic,-11.5553,0.0,-14.8372,-8.2734,True
high_serotonin,neutral_static,-6.962,0.0,-10.2439,-3.6801,True
high_serotonin,stable,0.872,0.9968,-1.3576,3.1016,False
high_serotonin,stressed,-1.508,0.6383,-3.7376,0.7216,False
neutral_dynamic,neutral_static,4.5933,0.0102,0.5227,8.664,True
neutral_dynamic,stable,12.4273,0.0,9.1454,15.7092,True
neutral_dynamic,stressed,10.0473,0.0,6.7654,13.3292,True
neutral_static,stable,7.834,0.0,4.5521,11.1159,True
neutral_static,stressed,5.454,0.0,2.1721,8.7359,True
stable,stressed,-2.38,0.0225,-4.6096,-0.1504,True
